,OVR,WEIGHT,PRICE,SPD,AGI,ACC,AWA,CTH,STA,TRK,ELU,BTK,SFA,SPM,JKM,CAR,SPC,RLS,THP,SAC,MAC,DAC,RUN,BSK,PAC,RBK,RBF,PBK,PBP,PBF,LBK,IBL,POW,PMV,FMV,BSH,PUR,PRC,MCV,ZCV,KPW,KAC,RET,OVR_SquareRooted,POS_C,POS_CB,POS_DT,POS_FB,POS_FS,POS_HB,POS_K,POS_LE,POS_LG,POS_LOLB,POS_LT,POS_MLB,POS_P,POS_QB,POS_RE,POS_RG,POS_ROLB,POS_RT,POS_SS,POS_TE,POS_WR,PROGRAM_Blitz,PROGRAM_Core Elite,PROGRAM_Core Gold,PROGRAM_Core Rookie,PROGRAM_Core Silver,PROGRAM_Flashbacks,PROGRAM_Football Outsiders,PROGRAM_Gauntlet I,PROGRAM_Gauntlet II,PROGRAM_Ghosts of Madden - Future,PROGRAM_Ghosts of Madden - Past,PROGRAM_Ghosts of Madden - Present,PROGRAM_Harvest,PROGRAM_Heavyweights,PROGRAM_Journey,PROGRAM_Legends,PROGRAM_M20 Pre-Order,PROGRAM_M20 Tribute,PROGRAM_MUT Captains,PROGRAM_MUT Heroes,PROGRAM_MUT Superstars,PROGRAM_Madden Ultimate Team 10,PROGRAM_Master,PROGRAM_Most Feared,PROGRAM_NFL 100,PROGRAM_NFL Epics,PROGRAM_NFL Playoffs,PROGRAM_Out of Position,PROGRAM_Power Up,PROGRAM_Rookie Premiere,PROGRAM_Series Redux,PROGRAM_Signature Series,PROGRAM_Team of the Week,PROGRAM_Team of the Year,PROGRAM_Theme Builders,PROGRAM_Theme Diamonds,PROGRAM_Twitch Prime,PROGRAM_Ultimate Kickoff,PROGRAM_Ultimate Trainers,PROGRAM_Veterans,PROGRAM_Zero Chill,TEAM_Arizona Cardinals,TEAM_Atlanta Falcons,TEAM_Baltimore Ravens,TEAM_Buffalo Bills,TEAM_Carolina Panthers,TEAM_Chicago Bears,TEAM_Cincinnati Bengals,TEAM_Cleveland Browns,TEAM_Dallas Cowboys,TEAM_Denver Broncos,TEAM_Detroit Lions,TEAM_Free Agents,TEAM_Green Bay Packers,TEAM_Houston Texans,TEAM_Indianapolis Colts,TEAM_Jacksonville Jaguars,TEAM_Kansas City Chiefs,TEAM_Los Angeles Chargers,TEAM_Los Angeles Rams,TEAM_Miami Dolphins,TEAM_Minnesota Vikings,TEAM_New England Patriots,TEAM_New Orleans Saints,TEAM_New York Giants,TEAM_New York Jets,TEAM_Oakland Raiders,TEAM_Philadelphia Eagles,TEAM_Pittsburgh Steelers,TEAM_San Francisco 49ers,TEAM_Seattle Seahawks,TEAM_Tampa Bay Buccaneers,TEAM_Tennessee Titans,TEAM_Washington Redskins,ARCHETYPE_Accurate (K/P),ARCHETYPE_Agile (C),ARCHETYPE_Agile (OG),ARCHETYPE_Agile (OT),ARCHETYPE_Blocking (FB),ARCHETYPE_Blocking (TE),ARCHETYPE_Deep Threat (WR),ARCHETYPE_Elusive Back (HB),ARCHETYPE_Field General (MLB),ARCHETYPE_Field General (QB),ARCHETYPE_Hybrid (FS/SS),ARCHETYPE_Improvisor (QB),ARCHETYPE_Man-to-Man (CB),ARCHETYPE_Pass Coverage (MLB),ARCHETYPE_Pass Coverage (OLB),ARCHETYPE_Pass Protector (C),ARCHETYPE_Pass Protector (OG),ARCHETYPE_Pass Protector (OT),ARCHETYPE_Physical (WR),ARCHETYPE_Possession (TE),ARCHETYPE_Power (C),ARCHETYPE_Power (K/P),ARCHETYPE_Power (OG),ARCHETYPE_Power (OT),ARCHETYPE_Power Rusher (DE),ARCHETYPE_Power Rusher (DT),ARCHETYPE_Power Rusher (OLB),ARCHETYPE_Powerback (HB),ARCHETYPE_Receiving Back (HB),ARCHETYPE_Returner (WR),ARCHETYPE_Route Running (WR),ARCHETYPE_Run Stopper (DE),ARCHETYPE_Run Stopper (DT),ARCHETYPE_Run Stopper (MLB),ARCHETYPE_Run Stopper (OLB),ARCHETYPE_Run Support (FS/SS),ARCHETYPE_Scrambler (QB),ARCHETYPE_Slot (CB),ARCHETYPE_Slot (WR),ARCHETYPE_Smaller Speed Rusher (DE),ARCHETYPE_Speed Rusher (DT),ARCHETYPE_Speed Rusher (OLB),ARCHETYPE_Strong Arm (QB),ARCHETYPE_Utility (FB),ARCHETYPE_Vertical Threat (TE),ARCHETYPE_Zone (CB),ARCHETYPE_Zone (FS/SS),QS_CURRENCY_Coins,QS_CURRENCY_Training
0,95,216,250000,76.0,66.0,82.0,88.0,35.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,55.0,10.0,10.0,57.0,56.0,52.0,49.0,30.0,22.0,32.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,17.0,96.0,89.0,10.0,4.553876891600541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,96,305,340000,74.0,75.0,86.0,95.0,18.0,89.0,18.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0,90.0,98.0,96.0,93.0,87.0,92.0,15.0,10.0,10.0,10.0,10.0,18.0,10.0,10.0,14.0,11.0,10.0,4.564348191467836,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,95,215,291000,78.0,75.0,78.0,92.0,45.0,94.0,48.0,68.0,53.0,54.0,61.0,69.0,67.0,25.0,15.0,95.0,90.0,90.0,91.0,94.0,84.0,93.0,27.0,29.0,30.0,29.0,27.0,27.0,27.0,12.0,10.0,10.0,28.0,29.0,15.0,10.0,22.0,28.0,25.0,10.0,4.553876891600541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,97,280,478000,84.0,83.0,91.0,95.0,37.0,94.0,22.0,10.0,10.0,20.0,15.0,18.0,38.0,42.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,35.0,35.0,35.0,35.0,13.0,93.0,85.0,97.0,94.0,96.0,95.0,95.0,20.0,24.0,15.0,11.0,14.0,4.574710978503383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,95,202,269000,76.0,59.0,84.0,80.0,18.0,84.0,14.0,18.0,10.0,10.0,13.0,21.0,27.0,10.0,10.0,32.0,35.0,30.0,26.0,28.0,22.0,22.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,97.0,87.0,10.0,4.553876891600541,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,96,328,367000,67.0,62.0,73.0,96.0,48.0,88.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,92.0,94.0,95.0,96.0,92.0,95.0,95.0,14.0,10.0,10.0,33.0,29.0,15.0,10.0,10.0,10.0,10.0,10.0,4.564348191467836,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,97,215,502000,87.0,94.0,91.0,97.0,58.0,98.0,38.0,84.0,83.0,65.0,79.0,83.0,66.0,32.0,15.0,92.0,93.0,90.0,95.0,98.0,96.0,96.0,35.0,25.0,10.0,10.0,10.0,23.0,10.0,10.0,10.0,10.0,10.0,37.0,16.0,10.0,10.0,10.0,10.0,10.0,4.574710978503383,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,95,225,300000,62.0,71.0,68.0,95.0,29.0,97.0,16.0,33.0,27.0,23.0,31.0,48.0,62.0,20.0,10.0,92.0,97.0,94.0,89.0,79.0,60.0,94.0,15.0,10.0,10.0,10.0,10.0,14.0,24.0,10.0,10.0,10.0,23.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,4.553876891600541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,96,215,361000,92.0,92.0,93.0,95.0,95.0,98.0,53.0,77.0,83.0,77.0,81.0,89.0,79.0,95.0,95.0,26.0,10.0,10.0,10.0,10.0,12.0,10.0,48.0,30.0,39.0,22.0,20.0,24.0,44.0,25.0,20.0,22.0,35.0,20.0,18.0,22.0,25.0,10.0,10.0,67.0,4.564348191467836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,95,311,276000,75.0,79.0,85.0,95.0,66.0,89.0,82.0,70.0,75.0,80.0,74.0,69.0,80.0,47.0,43.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,88.0,76.0,80.0,61.0,57.0,98.0,95.0,67.0,63.0,56.0,62.0,57.0,49.0,43.0,48.0,10.0,10.0,17.0,4.553876891600541,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
