,PLAYER_NAME,OVR,POS,PROGRAM,TEAM,HEIGHT,WEIGHT,ARCHETYPE,PRICE,QUICKSELL,QS_CURRENCY,clutch,penalty,lb_style,dl_swim,dl_spin,dl_bull,big_hitter,strips_ball,ball_in_air,high_motor,covers_ball,extra_yards,agg_catch,rac_catch,poss_catch,drops_open,sideline_catch,qb_style,tight_spiral,sense_pressure,throw_away,force_passes,SPD,STR,AGI,ACC,AWA,CTH,JMP,STA,INJ,TRK,ELU,BTK,BCV,SFA,SPM,JKM,CAR,SRR,MRR,DRR,CIT,SPC,RLS,THP,SAC,MAC,DAC,RUN,TUP,BSK,PAC,RBK,RBP,RBF,PBK,PBP,PBF,LBK,IBL,TAK,POW,PMV,FMV,BSH,PUR,PRC,MCV,ZCV,PRS,KPW,KAC,RET
0,Tress Way,95,P,Team of the Year,Washington Redskins,"6' 1""",216,Power (K/P),250000,"25,200",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,45,66,82,88,35,70,83,93,10,10,10,10,10,10,10,55,10,10,10,10,10,10,57,56,52,49,30,36,22,32,10,10,10,10,10,10,10,10,19,10,10,10,10,10,10,10,17,10,96,89,10
1,Joel Bitonio,96,LG,Team of the Year,Cleveland Browns,"6' 4""",305,Pass Protector (OG),340000,"34,900",Training,N/A,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74,88,75,86,95,18,80,89,93,18,10,10,15,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,90,85,90,98,96,93,87,92,11,15,10,10,10,10,18,10,10,10,14,11,10
2,Joe Montana,95,QB,NFL 100,San Francisco 49ers,"6' 2""",200,Field General (QB),Unknown,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Ideal,Yes,Ideal,75,55,78,82,94,55,70,93,89,34,71,67,69,38,65,74,63,20,20,20,25,35,12,90,94,94,93,89,96,74,93,34,34,34,19,19,19,34,34,33,12,10,10,35,35,20,11,19,10,18,17,10
3,John Elway,95,QB,NFL 100,Denver Broncos,"6' 3""",215,Strong Arm (QB),291000,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Balanced,Yes,Ideal,No,Aggressive,78,65,75,78,92,45,67,94,93,48,68,53,76,54,61,69,67,15,15,15,35,25,15,95,90,90,91,94,91,84,93,27,27,29,30,29,27,27,27,35,12,10,10,28,29,15,10,22,10,28,25,10
4,Aaron Donald,97,RE,Team of the Year,Los Angeles Rams,"6' 1""",280,Power Rusher (DE),478000,"48,300",Training,N/A,Disciplined,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,98,83,91,95,37,79,94,98,22,10,10,39,20,15,18,38,10,10,10,18,42,10,11,10,10,10,10,10,10,10,35,35,35,35,35,35,13,93,90,85,97,94,96,95,95,20,24,14,15,11,14
5,Zane Gonzalez,95,K,Team of the Year,Arizona Cardinals,"6' 0""",202,Power (K/P),269000,"25,200",Training,No,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,46,59,84,80,18,51,84,87,14,18,10,15,10,13,21,27,10,10,10,10,10,10,32,35,30,26,28,22,22,22,14,10,10,10,10,10,10,10,14,10,10,10,10,10,10,10,10,10,97,87,10
6,Jason Peters,96,LT,Team of the Year,Philadelphia Eagles,"6' 4""",328,Power (OT),367000,"34,900",Training,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,95,62,73,96,48,70,88,86,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,92,92,94,95,96,92,95,95,38,14,10,10,33,29,15,10,10,10,10,10,10
7,Russell Wilson,97,QB,Team of the Year,Seattle Seahawks,"5' 11""",215,Improvisor (QB),502000,"48,300",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pocket,Yes,Ideal,Yes,Ideal,87,60,94,91,97,58,84,98,98,38,84,83,95,65,79,83,66,21,11,10,25,32,15,92,93,90,95,98,90,96,96,35,28,25,10,10,10,23,10,16,10,10,10,10,37,16,10,10,10,10,10,10
8,Tom Brady,95,QB,NFL 100,New England Patriots,"6' 4""",225,Field General (QB),300000,"25,200",Training,Yes,Disciplined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Ideal,Yes,Ideal,62,63,71,68,95,29,48,97,97,16,33,27,47,23,31,48,62,10,10,10,10,20,10,92,97,94,89,79,90,60,94,15,10,10,10,10,10,14,24,23,10,10,10,23,20,10,10,10,10,10,10,10
9,John Elway,95,QB,NFL 100,Denver Broncos,"6' 3""",215,Strong Arm (QB),Unknown,"25,200",Training,Yes,Normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Balanced,Yes,Ideal,No,Aggressive,78,65,75,78,92,45,67,94,93,48,68,53,76,54,61,69,67,15,15,15,35,25,15,95,90,90,91,94,91,84,93,27,27,29,30,29,27,27,27,35,12,10,10,28,29,15,10,22,10,28,25,10
