PLAYER_NAME,OVR,PROGRAM,TEAM,PRICE,AWA,BTK,BSK,PBK,PRC,POS_CB,POS_DT,POS_FB,POS_FS,POS_HB,POS_K,POS_LE,POS_LG,POS_LOLB,POS_LT,POS_MLB,POS_P,POS_QB,POS_RE,POS_RG,POS_ROLB,POS_RT,POS_SS,POS_TE,POS_WR,AWA SQUARED,BTK SQUARED,PBK SQUARED,TAK SQUARED,AGI SQUARED,SPD SQUARED,RT_PBK,HB_PBK,HB_BTK,TE_STR,WR_ACC,WR_CIT,LE_FMV,DT_BSH,DT_PRC,DT_TAK,RE_STR,LOLB_PUR,MLB_POW,MLB_PUR,CB_PRC,CB_MCV,FS_ZCV,K_KAC,P_KAC,Actual,Predicted,Discrepancy
Tress Way,95,Team of the Year,Washington Redskins,250000,88.0,10.0,22.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7744.0,100.0,100.0,361.0,4356.0,5776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,249999.99999999983,307609.2180501923,57609.21805019246
Joel Bitonio,96,Team of the Year,Cleveland Browns,340000,95.0,10.0,10.0,98.0,18.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9025.0,100.0,9604.0,121.0,5625.0,5476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340000.00000000006,309277.0112208881,-30722.98877911194
John Elway,95,NFL 100,Denver Broncos,291000,92.0,53.0,84.0,30.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8464.0,2809.0,900.0,1225.0,5625.0,6084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290999.99999999977,183116.80088010608,-107883.19911989369
Aaron Donald,97,Team of the Year,Los Angeles Rams,478000,95.0,10.0,10.0,35.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9025.0,100.0,1225.0,8100.0,6889.0,7056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478000.0000000001,420663.7238256753,-57336.2761743248
Zane Gonzalez,95,Team of the Year,Arizona Cardinals,269000,80.0,10.0,22.0,10.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400.0,100.0,100.0,196.0,3481.0,5776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,269000.0000000002,223566.22099228346,-45433.779007716716
Jason Peters,96,Team of the Year,Philadelphia Eagles,367000,96.0,10.0,10.0,95.0,15.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9216.0,100.0,9025.0,1444.0,3844.0,4489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366999.9999999997,280062.45769257157,-86937.54230742814
Russell Wilson,97,Team of the Year,Seattle Seahawks,502000,97.0,83.0,96.0,10.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9409.0,6889.0,100.0,256.0,8836.0,7569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501999.9999999997,642635.597067003,140635.5970670033
Tom Brady,95,NFL 100,New England Patriots,300000,95.0,27.0,60.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9025.0,729.0,100.0,529.0,5041.0,3844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299999.9999999999,193995.56067133186,-106004.43932866803
DeAndre Hopkins,96,Team of the Year,Houston Texans,361000,95.0,83.0,12.0,39.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9025.0,6889.0,1521.0,1024.0,8464.0,8464.0,0.0,0.0,0.0,0.0,93.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360999.99999999977,376034.56447237474,15034.564472374972
Patrick Ricard,95,Team of the Year,Baltimore Ravens,276000,95.0,75.0,10.0,80.0,49.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9025.0,5625.0,6400.0,4761.0,6241.0,5625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275999.9999999998,508877.2364029263,232877.2364029265
